Sun Nov 27 07:01:14 EST 2016,   https://t.co/KBLKTP89Xi, | Myths and Facts About Obstructive Sleep Apnea|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'sleep apnea' 'OSA' 'obstructive sleep apnea' 'snoring' 'sleep' 'sleep disorder' 'breathing']|, ||
Thu Jul 07 16:37:06 EDT 2016,   https://t.co/zgUsiXPX7X, | Chocolate Recipes to Die(t) For|, |['chocolate' 'diet' 'nutrition' 'anti-oxidants'] |, |Is chocolate the answer to bad moods high stress and broken hearts? Maybe not but lots of women feel it comes pretty darn close. A world without chocolate would be a pretty tasteless place.Chocolate is the superstar of food cravings: 68% of women's food cravings are for chocolate. (I can tell you that I for one am somewhere in that 68%.) And the time we crave it the most? Apparently it's an afternoon delight. Don't even try to get between a woman in need and a candy bar machine around 3 o'clock! A recent review study published in the Journal of the American Dietetic Association said that "chocolate cravings are real." Any woman in the midst of PMS could have told them that! And ignoring those cravings may not be such a good idea. A recent study on normal-weight women published in the International Journal of Eating Disorders suggested that forbidding chocolate only leads to greater temptation -- and greater chocolate consumption. For many "comfort" is synonymous with chocolate. Some of the top-rated comfort foods? Try chocolate cookies chocolate cake brownies and chocolate ice cream. It's no coincidence that both versions of the "Better Than Sex Cake" recipes that made their way across America several years ago featured chocolate. No food tantalizes the taste buds quite like chocolate. It represents a divine blend of more than 500 flavors (2 1/2 times more flavors than any other food!) And no other food has its sensual depth -- even its melting point is sensual: Chocolate melts almost immediately in response to human touch because its melting point is just below body temperature. Couple that with chocolate's other appealing characteristics -- like the blend of fat and sugar the smooth texture and arousing aroma -- and you've got quite possibly the most alluring food on the planet! But our attraction to chocolate goes even further than that. There may be a hormonal link to chocolate cravings as they often come and go with the monthly hormonal fluctuations and mood swings of women. There also happen to be several biologically active substances in chocolate (methylxanthines biogenic amines cannabinoid-like fatty acids) that may cause psychological sensations similar to addictive substances according to a study in the Journal of the American Dietetic Association. Here's the best news of all: Chocolate may actually be good for you (at least in the form of cocoa). Cocoa beat out red wine and green and black tea as having the highest levels of heart-healthy antioxidant activity according to a recent study. The researchers also noted that cocoa had much higher levels of two phytochemicals (total phenolics and flavonoids) than the wine or tea. The flavonoids found in cocoa are thought to benefit the heart in a couple of ways including possible antioxidant protection.|
Wed Jul 06 19:00:25 EDT 2016,   https://t.co/KfmI01Q74e, | Test Might Gauge Alzheimer's Risk in Young Adults|, |["Alzheimer's disease" 'genetic test' 'early detection' 'memory loss' 'brain disease']|, ||
Wed May 04 11:40:02 EDT 2016,   https://t.co/pBUKaMt80J, | error|, |[''] Depression should be talked about with the same candor as say diabetes. But we have quite a ways to go in recognizing what it looks like – and stripping away the shame attached to mental health conditions says Rory Brosius. Brosius is deputy director of Joining Forces an initiative launched in 2011 by first lady Michelle Obama and Jill Biden wife of Vice President Joe Biden to help military personnel transition to civilian life. Brosius’ mission is to promote wellness in that population and beyond — service members veterans and civilians. She’s broadening that conversation through Campaign to Change Direction an initiative begun last spring that hopes to change the culture of mental health in the U.S. The campaign helps raise awareness of five key signs of emotional suffering. “We’ve treated mental health somehow different than our physical health but it’s part of our holistic wellness” says Brosius a social worker by training and the wife of Matthew Brosius a Marine who is re-entering civilian life. WebMD talked to Brosius 33 about the campaign and the work she’s doing to promote psychological wellness both among service personnel and their families and the general public. Q. What are the 5 signs that someone may be suffering from a mental health issue? A. The key part is educating people on these five signs: personality change withdrawal agitation poor self-care and hopelessness. They’re signs somebody may be suffering. If you see them you can reach out and help them. Because there is support that is available. Q: What are some misperceptions people have about mental illness?  A: There are quite a few like people with mental illness are violent or somehow unpredictable when the reality is that people with mental illness are 10 times likelier to be victims of a violent crime. We have stereotypical ideas of what it means to live with a mental health issue. Another one is that people assume they don’t know anyone with mental illness but 1 in 5 American adults has dealt with a mental health issue in their life. You look around a room someone’s dealing with it someone’s in recovery. You may not notice it. Q: If the signs of mental illness are subtle how do you make ordinary people aware of them? A: It’s not so easy to detect because it’s something we don’t talk about. [But] there are things you notice that indicate that somebody’s in pain. Forty years ago people didn’t know how to recognize a heart attack; through education we learned how to read the signs. This is a sticky and hard issue for people to talk about …it will take time but we’ve seen the same thing with heart disease and stroke and breast cancer — it’s a matter of education. Q: What is the best way to support someone with mental health issues?  A: There are great ways to support somebody suffering just by being empathetic being a good friend listening you can learn a lot about mental health. There are great resources – mentalhealth.gov National Alliance for Mental Health – their whole mission is to teach people what to look for. In the age of the internet and Google we have the ability to access that information at our fingertips. But really just being there. Maybe the person would like you to go to an appointment with them or spend time with you. Q: Is there a different approach we might take with a service member than with a civilian? A: In the same way you’d listen to a civilian you would do with a service member. One benefit in that population is we have specialized resources geared to service members and their families. There is support for military personnel and their families peer-to-peer services warm handoff programs to service members transitioning to civilian life. There are distinct benefits to being a service member. Q: You have written that mental health is a human issue not a military issue. Can you elaborate? One in 5 American adults has experienced a mental health issue. In the military people are suffering from mental health issues just like across the population. PTSD [post traumatic stress disorder]|, ||
Wed Aug 10 17:21:45 EDT 2016,   https://t.co/bGKhmZDNzT, | error|, |['infections' 'suicide' 'suicide risk' 'mental health' 'hospitalization' 'HIV' 'hepatitis'] |, |WEDNESDAY Aug. 10 2016 (HealthDay News) -- People hospitalized for serious infections may face an increased risk of dying by suicide and researchers suspect there's a biological reason for it. In a study of over 7 million people Danish researchers found that those who'd been hospitalized for infections were 42 percent more likely to die of suicide compared to people with no history of serious infection. People hospitalized for HIV/AIDS or the liver infection hepatitis showed the highest risk -- more than twice that of people without those diseases the study found. Although the study couldn't prove a cause-and-effect link the study authors and at least one other brain health expert think the increased risk of suicide after infection might not simply reflect the psychological impact of serious illness. Instead infections might directly contribute to suicide risk by causing inflammation in the brain.  "We know that inflammation can cause depression symptoms" said Dr. Lena Brundin. She's an associate professor at the Van Andel Research Institute's Center for Neurodegenerative Science in Grand Rapids Mich. That she said is based on evidence from both animals and humans. For example the drug interferon revs up the immune system's inflammatory response and up to 45 percent of patients develop depression during treatment according to Brundin. Interferon is used to treat certain infections and some cancers according to the U.S. Food and Drug Administration.  The new study is important in part because it's huge according to Brundin. She said it strengthens the case that smaller studies have made: Depression and suicidal behavior may be inflammatory disorders to some degree. Brundin wrote an editorial published with the findings Aug. 10 in JAMA Psychiatry. For the study researchers used Denmark's system of national registries to comb through data on over 7 million people who lived in the country between 1980 and 2011. During that time over 800000 -- or 11 percent -- were hospitalized for an infection including HIV hepatitis or infections of the lungs digestive system skin or blood. Based on death certificates nearly 32700 people died of suicide during the 32-year study period. Almost one-quarter of them had ever been hospitalized for an infection the study showed.|
Sat Sep 03 10:15:06 EDT 2016,   https://t.co/LWrFSApnj1, | That Magic (Sense of) Touch|, |['quizzes' 'questions' 'touch' 'skin' 'emotion']|, ||
Wed Apr 27 12:57:02 EDT 2016,   https://t.co/za3DQ4Jg7A, | Teen Girls More Stressed Than Boys: Survey|, |['teens' 'stress' 'teen stress' 'webmd survey' 'parenting' 'parents' 'mental health']|, ||
Mon Nov 07 18:00:27 EST 2016,   https://t.co/ZvJN9EdvgB, | Soft Drink Suppliers Absorb Some Soda Tax Costs|, |['soda' 'soft drinks' 'sugary drinks' 'soda tax' 'taxes' 'distributors' 'suppliers' 'obesity' 'obesity epidemic'] |, |FRIDAY Nov. 4 2016 (HealthDay News) -- Suppliers try to counter the effects of taxes on soda and other sugar-sweetened drinks by absorbing some of the extra cost themselves a new study finds. These taxes are seen by some as one way to combat the obesity epidemic in the United States because it's believed price increases would discourage people from buying the products. On Nov. 8 the California cities of Albany Oakland and San Francisco as well as Boulder Colo. will be voting on whether to institute soda taxes. In the study researchers analyzed the effect of a soda tax implemented in Berkeley Calif. in early 2015. It requires soda distributors to pay the city 1 cent per ounce whenever they deliver soda to a store which works out to an extra 20 cents for a 20-ounce bottle and $1.44 for a 12-pack of 12-ounce cans. But the prices paid by consumers rose by only 43 percent of the tax. However "the limited price increase resulting from the tax should not be seen as a failure but as evidence that consumers are responding to the policy" said study author John Cawley. He is a professor of policy analysis and management and of economics at Cornell University in Ithaca N.Y. The tax in Berkeley was the country's first on sugar-sweetened beverages for public health purposes. In the study the researchers also found that the closer a store was to an untaxed rival outside of Berkeley the less it passed the taxes on to consumers. "Our research suggests that these taxes may be only partially passed on to consumers in the form of higher prices" Cawley said in a university news release. Because consumers are sensitive to price suppliers don't want to shift all of the tax to consumers he explained. The study was published recently in the Journal of Policy Analysis and Management.|
Thu Oct 20 12:01:48 EDT 2016,   https://t.co/WG1ZtQVk51, | The Basics: Tips to Prevent Pimples|, |['prevent pimples' 'acne cure' 'breakouts' 'skin care routine' 'clear skin' 'wash face' 'hair products acne']|, ||
Fri Sep 23 11:00:17 EDT 2016,   https://t.co/Lw6QXzzxep, | Reading to Your Baby|, |['reading' 'storytime' 'story time' 'baby' 'reading stories' 'telling stories' '11 month old'] |, |Reading to your baby aloud can do wonders for her developing language skills. It's one of the best ways to help her learn. The more words she hears in a day the better. If you haven't started already make a habit of reading to your baby every day. Good reading habits that start early will set the stage for her to learn new things down the road. This a good time to:  Your Baby's Development This Week If leaving your baby causes her to erupt into a fit of tears and desperate clinging it's official: her separation anxiety has kicked into high gear. That's to be expected at this stage. Separation anxiety tends to peak between 10 and 18 months. With very little sense of time your baby doesn't know that you're coming back. That will start to change as she gets closer to the age of two. Here's what you can expect at this stage: SOURCES: American Academy of Pediatrics: "Emotional and Social Development: 8 to 12 Months." American Academy of Pediatrics: "How Do Infants Learn?" American Academy of Pediatrics: "The Developmental Milestones of Early Literacy." Reading Is Fundamental.org: "Tips for Reading Aloud with Babies."|
Fri Sep 30 01:12:23 EDT 2016,   https://t.co/Iv1guEVVaa, | Bone Up on Your Joints|, |['questions' 'joints' 'bones' 'joint noises' 'socket hinge' 'ball']|, ||
Sat Apr 30 13:33:01 EDT 2016,   https://t.co/1pVWaLsUaS, | error|, |['']|, ||
Wed Apr 27 14:42:57 EDT 2016,   https://t.co/s5TL3tzqez, | Type 2 Diabetes May Damage Hearing|, |['diabetes' 'type 2 diabetes' 'hearing' 'hearing loss' 'hearing test' 'auditory testing'] |, |WEDNESDAY April 27 2016 (HealthDay News) -- Type 2 diabetes may raise the risk of hearing loss say researchers who recommend hearing tests for patients with the blood sugar disease. The researchers reviewed prior studies examining the link between diabetes and hearing loss. However further research is needed to confirm this connection said the team at the State University of New York Downstate Medical Center in New York City. "An association between diabetes and hearing impairment in human subjects has been shown in many but not all studies" said Elizabeth Helzner an assistant professor in the School of Public Health. "Direct comparison of these studies is complicated due to a lack of consistency in defining hearing impairment and other factors" she said in a SUNY news release.  However Helzner added the association between diabetes and hearing impairment tends to be stronger in studies that included younger participants. It's possible that in older patients other causes of age-related hearing impairment may mask the contribution of diabetes she said. "This factor in itself lends weight to the notion that type 2 diabetes can damage hearing" she explained.  Hearing loss affects more than 16 percent of American adults with nearly half of people older than 75 having difficulty hearing according to the U.S. National Institute on Deafness and Other Communication Disorders.  Hearing loss has been linked with social isolation depression mental decline dementia and increased risk for falls hospitalization and death the researchers say. The study results were published recently in the journal Current Diabetes Reports.|
Fri Jul 15 11:44:33 EDT 2016,   https://t.co/6g5hl2Ypdy, | Slideshow: Food Cravings That Wreck Your Diet|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of foods you crave' 'pictures of chocolate' 'pictures of bread' 'pictures of pizza' 'craving salt' 'craving sugar' 'craving carbs' 'craving chocolate' 'craving chips' 'ice cream' 'popcorn' 'pizza' 'bread' 'hot dogs' 'pasta' 'meat' 'doughnuts' 'nuts' 'snacks' 'snack attack']|, ||
Wed Jul 27 11:50:22 EDT 2016,   https://t.co/POb1wBhXGX, | Flu Shot Benefits Type 2 Diabetes Patients|, |['diabetes' 'type 2 diabetes' 'flu shot' 'influenza shot' 'flu vaccine' 'vaccination' 'hospitalization' 'death'] |, |TUESDAY July 26 2016 (HealthDay News) -- The seasonal flu vaccine may offer people with type 2 diabetes some protection against dying prematurely a new study suggests. The flu shot also appeared to protect those with type 2 diabetes from hospitalizations for stroke as well as heart and breathing problems the study said. British researchers looked at a large group -- more than 124500 people -- with type 2 diabetes. People with type 2 diabetes normally have a higher risk of cardiovascular problems the researchers noted. During the seven-year study the researchers found that flu vaccination was associated with a 19 percent reduction in flu-season hospital admissions for heart attack in people with type 2 diabetes. Hospital admissions for stroke were 30 percent lower for those who got a flu vaccination. Admissions were also down 22 percent for heart failure and 15 percent for pneumonia or influenza in people with type 2 diabetes who got the flu shot. The death rate among those who received a flu shot was 24 percent lower than in those who weren't vaccinated the research said. The study wasn't designed to prove a cause-and-effect link between the flu shot and the reduction in death and hospital admissions. However the study did show a strong connection between those factors. The results show "that people with type 2 diabetes may derive substantial benefits from current vaccines including protection against hospital admission for some major cardiovascular outcomes" wrote study researcher Dr. Eszter Vamos from Imperial College London and colleagues. "These findings underline the importance of influenza vaccination as part of comprehensive secondary prevention in this high-risk population" the researchers said. The study was published July 25 in CMAJ.|
Sat May 14 19:46:01 EDT 2016,   https://t.co/1Pe7HuOeZ9, | What Your Hair & Scalp Say About Your Health|, |['Hair loss' 'dandruff' 'dandruff treatment' 'seborrheic dermatitis' 'alopecia' 'alopecia areata' 'male pattern baldness' 'female hair loss' 'hair loss in women' 'hair falling out' 'hair thinning' 'scalp conditions' 'slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of']|, ||
Fri Apr 08 13:15:00 EDT 2016,   https://t.co/ojEcYWcjWV, | Predicting Longevity May Be Simpler Than Thought|, |['longevity' 'long life' 'lifespan' 'DNA' 'telomeres' 'age' 'mobility' 'longevity indicators' 'predicting longevity'] |, |THURSDAY April 7 2016 (HealthDay News) -- Testing the length of the ends of your DNA strands may not be the best predictor of how long you will live a new study suggests. Instead simpler measures that include your age and your ability to climb stairs or walk a short distance may more accurately pinpoint longevity researchers report. The study team analyzed death rates over five years among older people in the United States (60 and older) Costa Rica (61 and older) and Taiwan (53 and older).  The aim was to find out how a broad set of basic measures -- such as age mobility and smoking habits -- compared with gauging the length of telomeres in predicting death over a five-year period. Telomeres are the ends of DNA that shrink with age the researchers said. Since the discovery that telomeres act as a "molecular clock" in people there has been great interest in finding out if telomere length can be used to accurately predict when someone will die the scientists explained. But this new study found that using telomere length was just slightly better than a "coin toss" the researchers said. Actual age was by far the single best predictor of death according to the findings published online April 6 in the journal PLoS One. "Scientific evidence on telomere length has been sensationalized and in some cases exaggerated by the media and by companies that have capitalized on the research to market products that may promise more than they can deliver" said study author Dana Glei. She is a senior research investigator at Georgetown University's Center for Population and Health in Washington D.C. Study co-author Noreen Goldman is a professor of demography and public affairs at Princeton University. She said in a Princeton news release "We were surprised that most indicators outperformed telomere length including self-reported measures of health and mobility an assessment of cognitive [mental] function smoking exercise an inflammatory marker and a measure of kidney function." The findings show there is no evidence to suggest that doctors should test telomere length to determine how long patients will live the study authors said. "It is much easier and less expensive to ask someone's age than to collect blood extract DNA and measure telomere length" Glei said in the news release. The study results are also important for consumers the researchers said. "On the Internet they sell test-your-own-telomere-length kits and supplements that are touted to help people maintain their telomeres. We caution buyers to beware" Glei added.|
Mon Apr 11 15:24:02 EDT 2016,   https://t.co/5T7hm09MGu, | Zika May Be Linked to Autoimmune Brain Disorder|, |['zika' 'zika virus' 'zika outbreak' 'mosquitoes' 'multiple sclerosis' 'autoimmune disorder' 'brain disorder' 'microcephaly' 'acute disseminated encephalomyelitis'] |, |SUNDAY April 10 2016 (HealthDay News) -- The Zika virus may be linked to yet another brain disorder this one similar to multiple sclerosis researchers report. The mosquito-borne virus is already suspected of causing a birth defect called microcephaly -- characterized by an abnormally small head and brain -- and a nervous system disorder called Guillain-Barre syndrome. Now a new study reports a possible link between Zika and an autoimmune disorder known as acute disseminated encephalomyelitis (ADEM). In this disease the immune system attacks the coating (myelin) around nerve fibers in the brain and spinal cord much like multiple sclerosis. "Though our study is small it may provide evidence that in this case the virus has different effects on the brain than those identified in current studies" said study author Dr. Maria Lucia Brito Ferreira of Restoration Hospital Recife Brazil. The study results released April 10 will be presented April 15 at the annual meeting of the American Academy of Neurology in Vancouver Canada. Research presented at meetings should be viewed as preliminary until published in a peer-reviewed medical journal. "Much more research will need to be done to explore whether there is a causal link between Zika and these brain problems" Ferreira added in an academy news release. In Guillain-Barre the immune system attacks the nervous system resulting in muscle weakness and sometimes paralysis according to the U.S. Centers for Disease Control and Prevention. Zika which is prevalent in Latin America and the Caribbean is mainly transmitted through the bite of infected Aedes aegyptimosquitoes. Most healthy people infected with the virus experience no symptoms but babies whose mothers were exposed to the virus in pregnancy appear to be at special risk for microcephaly. The new research indicates the virus might have implications for others as well. The new study focused on six people who developed neurologic symptoms after arriving at a hospital in Recife between December 2014 and June 2015. All reported symptoms consistent with the family of viruses that includes Zika dengue and chikungunya. These symptoms included fever followed by a rash and in some cases severe itching muscle and joint pain and red eyes.|
Mon Jul 11 19:39:05 EDT 2016,   https://t.co/85cBs9up7x, | How to Prevent Fractures if You Have Osteoporosis|, |['Slideshow' 'osteoporosis' 'fractures' 'falling' 'flexibility']|, ||
Wed May 25 16:44:01 EDT 2016,   https://t.co/uIV0fJIunV, | 19 Constipation Myths and Facts|, |['pictures of constipation' 'fiber' 'constipation medication' 'constipated' 'bowel movement' 'stool' 'stress' 'water' 'exercise' 'diarrhea' 'colon cleansing' 'colonic' 'enema' 'colon' 'laxative']|, ||
Thu Aug 11 12:16:11 EDT 2016,   https://t.co/zlCgZi2638, | error|, |['dogs' 'canines' 'fertility' 'infertility' 'chemicals' 'pollutants' 'humans' 'males' 'male factor infertility'] |, |WEDNESDAY Aug. 10 2016 (HealthDay News) -- A sharp decline in the fertility of male dogs in Britain in the past three decades could be due to chemical pollution a new British study suggests. The researchers said the findings may shed light on reports -- though controversial -- of perceived declines in the fertility of men in a number of countries including the United States the United Kingdom and France. "This is the first time that such a decline in male fertility has been reported in the dog and we believe this is due to environmental contaminants some of which we have detected in dog food and in the sperm and testes of the animals themselves" said study leader Richard Lea. He's with the University of Nottingham School of Veterinary Medicine and Science. Several reviews of human male fertility have reported a decline in sperm quality over the last 70 years and an increase in reproductive problems such as undescended testicles according to background information in the new study. But because different labs used different methods over the years there's still debate over the significance of these findings. Still the authors of the dog study said the previous studies on men suggest that an adverse environment is having an impact on men's reproductive systems. And the adverse exposure is thought to happen early in a man's life the researchers said. Since dogs and men share similar environments and similar reproductive systems the researchers thought studying dogs might help provide some answers. The study investigators looked at 26 years of samples taken from five breeds of stud dogs at a dog breeding center in the United Kingdom. These breeds included Labrador retriever golden retriever curly coat retriever border collie and German shepherd. Sperm samples were taken annually from between 42 and 97 dogs the study authors said. The researchers said they found a significant decrease in the dogs' sperm quality during the study period. They also said they found that the dogs' sperm and testes had levels of chemical pollutants that can harm sperm. These chemicals were also found in some pet foods including brands marketed for puppies the study authors said.|
Thu Aug 11 19:11:13 EDT 2016,   https://t.co/zTG1XQAKoj, | Effects of Atom Bomb Not as Bad as Feared: Study|, |['atom bomb' 'japan' 'long term health' 'radiation' 'wwii'] |, |THURSDAY Aug. 11 2016 (HealthDay News) -- The long-term health effects of the atomic bombs dropped on the Japanese cities of Hiroshima and Nagasaki during World War II were not as severe as many people had thought a new report contends. Bertrand Jordan a molecular biologist in France analyzed more than 60 years of medical research on about 177000 survivors and their children as well as 20000 people who were not exposed to radiation from the bombs. The United States dropped the bombs in August 1945 and 200000 people died in the immediate aftermath. Survivors did have a 10 percent to 44 percent added risk of cancer due to radiation exposure from the bombs. But they lived only a few months less on average than those not exposed to radiation the study findings said. No health effects or radiation-associated mutations have been detected in children of survivors according to the findings published in the August issue of the journal Genetics. Although more detailed tests might one day reveal subtle differences among survivors' children Jordan claimed the risk to their health risk isn't as great as feared.  "Most people including many scientists are under the impression that the survivors faced debilitating health effects and very high rates of cancer and that their children had high rates of genetic disease. There's an enormous gap between that belief and what has actually been found by researchers" Jordan said in a journal news release. There are several possible explanations for the study findings including historical context Jordan said. "People are always more afraid of new dangers than familiar ones" Jordan said. "For example people tend to disregard the dangers of coal both to people who mine it and to the public exposed to atmospheric pollution. Radiation is also much easier to detect than many chemical hazards. With a hand-held geiger counter you can sensitively detect tiny amounts of radiation that pose no health risk at all." But Jordan said his findings should not cause complacency about the threat of nuclear weapons and nuclear accidents. The meltdowns that occurred in 2011 at a nuclear power plant in Fukushima Japan after an earthquake triggered a massive tsunami shows that disasters can occur even in a country like Japan that has strict regulations governing the nuclear industry he said.|
Thu Sep 08 09:36:31 EDT 2016,   https://t.co/PZdPyh4X5Y, | Cord-Blood Transplants Show Promise for Leukemia|, |['cord blood' 'cord blood transplant' 'donor' 'recipient' 'leukemia' 'treating leukemia' 'leukemia treatments'] |, |WEDNESDAY Sept. 7 2016 (HealthDay News) -- Bone marrow or stem cell transplants can save the lives of adults and children with leukemia but an ideal donor often isn't available. In those cases umbilical cord blood may work as well as current alternatives -- or even better in some cases a new study suggests. "Often cord-blood transplant is thought to be only as the last resource for patients without donors. But cord blood does not have to be considered only an alternative donor source" said study lead author Dr. Filippo Milano. "In centers with experience it can yield to great outcomes" said Milano an assistant member of the Clinical Research Division at Fred Hutchinson Cancer Research Center in Seattle. At issue: How best to treat the blood cancer leukemia and a related condition called myelodysplastic syndrome? One approach replaces a patient's blood-producing bone marrow through a transplant. The "gold standard" is to find a relative who can donate bone marrow or stem cells preferably a "matched" sibling whose blood is compatible with the patient's Milano said. But for 70 percent of patients this ideal fit doesn't occur the study authors noted. Physicians then might recommend a transplant from a compatible donor unrelated to the patient or an unrelated donor who's mostly (but not entirely) compatible.  This new study considers another option: A donation of cord blood from the placenta and umbilical cord of newborn babies. Like bone marrow or stem cell transplants a cord-blood transplant can produce stem cells that create new blood. "However cord-blood donors and recipients don't need to be a perfect match" Milano said.  To compare the success of the different options researchers looked at 582 patients with leukemia or myelodysplastic syndrome. If a compatible bone marrow or stem cell transplant from an unrelated donor wasn't available the patients got either a cord-blood transplant or an incompatible bone marrow or stem cell transplant from an unrelated donor Milano said. "Our study showed that overall survival after cord-blood transplantation was comparable to the one observed after matched unrelated transplants" Milano said. And patients who got cord-blood transplants seemed to live longer than those who got non-matching bone marrow or stem cell transplants from unrelated donors he noted.|
Tue Jun 28 11:57:10 EDT 2016,   https://t.co/btnkhORD11, | Old Drug Boosts Brain's Memory Centers|, |['Methylene blue' 'memory loss' 'short term memory' 'methemoglobinemia' 'cyanide poisoning poisonoing'] |, |TUESDAY June 28 2016 (HealthDay News) -- A long-used drug called methylene blue may rev up activity in brain regions involved in short-term memory and attention a small study suggests. Methylene blue has been used in medicine for more than a century said Timothy Duong the senior researcher on the study and a professor at the University of Texas Health Science Center at San Antonio. These days he said it's used to manage a condition called methemoglobinemia where the blood cannot deliver enough oxygen to the body's tissues. It's also used to treat poisoning by cyanide or carbon monoxide. But evidence dating back to the 1970s suggests the drug may also enhance memory in animals and humans Duong said. In the new study his team found that a single dose of methylene blue improved memory test performances by 13 healthy adults in a small placebo-based clinical trial. Based on MRI brain scans the medication worked by stimulating brain structures involved in processing memories as well as visual and sensory information. Methylene blue is readily available and cheap Duong said. But at this point no one is suggesting it's ready to be used for preventing or treating memory decline. "Clearly this is early research" said Dr. Ezriel Kornel an assistant clinical professor of neurological surgery at Weill Cornell Medical College in New York City. For one it's not known whether the drug's effects diminish over repeated doses said Kornel who wasn't involved in the study. What's more he said the study included only people with intact memories and not those with impairments. Still Kornel called the findings "fascinating." He said larger longer-term studies should dig deeper into the drug's potential. According to Duong methylene blue acts as "an antioxidant and an energy enhancer." In simple terms it can allow brain cells to receive more energy. While there was already evidence that methylene blue can boost short-term memory Duong said his team wanted to know how the drug affects the brain. To do that the researchers used functional MRI which tracks blood flow in the brain as a person performs mental tasks.|
Fri Sep 23 20:30:10 EDT 2016,   https://t.co/m34VsNh2fm, | Slideshow: 8 Digestive Health Supplements|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'digestive health' 'digestion' 'digestion problems' 'probiotics' 'licorice' 'DGL' 'peppermint oil' 'IBS' 'irritable bowel syndrome' 'chamomile' 'ginger' 'L-glutamine' 'psyllium' 'fiber' 'artichoke' 'dietary supplements' 'supplements' 'vitamins']|, ||
Mon Oct 31 13:05:16 EDT 2016,   https://t.co/Tf8bgd87Q5, | Halloween Candy Calorie Counts|, |['Halloween candy' 'candy calorie' 'candy corn' 'caramel apple' 'chocolate calorie']|, ||
Tue Sep 20 08:30:08 EDT 2016,   https://t.co/46rwNJjUMp, | Quiz: Sizzling Facts About Bacon|, |['Quiz' 'quizzes' 'questions' 'bacon' 'pork' 'bacon and eggs' 'calories in bacon' 'turkey bacon' 'Canadian bacon' 'choline' 'nitrates' 'sodium nitrite' 'sodium nitrate' 'processed meats' 'bacon bits']|, ||
Thu Jun 30 17:04:54 EDT 2016,   https://t.co/HvK1CuPpAw, | Clinics Selling Unapproved Stem Cell 'Therapies'|, |['stem cells' 'stem cell therapies' 'clinics' 'stem cell clinics' 'aging' 'injuries' 'spinal cord injuries'] |, |THURSDAY June 30 2016 (HealthDay News) -- Hundreds of clinics across the United States are marketing unapproved stem cell treatments for conditions ranging from aging skin to spinal cord injuries a new study finds. In an online search researchers found at least 570 clinics offering unapproved stem cell "therapies." They tend to be concentrated in a handful of states -- including Arizona California Colorado Florida New York and Texas -- but are scattered across many other states too. Most often the clinics market stem cell procedures for orthopedic conditions such as arthritis and injured ligaments and tendons. This does have science behind it but is still experimental medical experts said. In other cases with little or no supporting evidence clinics hawked stem cell "facelifts" and therapies for serious conditions such as chronic lung disease Parkinson's disease and multiple sclerosis. If these pricey stem cell treatments are unproven and unapproved by federal regulators how can these clinics exist? "I ask myself that question all the time" said Leigh Turner a bioethicist who worked on the study. Turner an associate professor at the University of Minnesota's Center for Bioethics said attention used to focus on "stem cell tourism" -- where people travel to countries such as China India and Mexico to get unproven treatments. "I think there's a misperception that everything here [in the U.S.] is regulated" Turner said. "But these clinics are operating here and on a relatively large scale." Stem cells are primitive cells with the potential to mature into various types of body tissue. Medical researchers have been studying the possibility of using stem cells to repair damaged tissue in a range of chronic ills -- with limited success so far. But the general public has heard about the "promise" of stem cells for years and it can be easy to be taken in by clinics' marketing tactics Turner said. Websites can for instance link to published medical studies that make their therapies seem legitimate Turner said. "These businesses can be quite savvy" he said. "I think it's asking too much to just tell consumers to be wary. We need to be asking why should these clinics be allowed to do this?"|
Tue Apr 12 15:39:02 EDT 2016,   https://t.co/LZrTOGqp9r, | How to Follow a Low-Residue Diet|, |['fiber' 'low-fiber diet' 'low-residue' 'digestion' 'IBD' 'ulcerative colitis' "Crohn's"]|, ||
Sat Oct 29 15:00:18 EDT 2016,   https://t.co/7KC6Sj8FuO, | Slideshow: Foods Your Dog Should Never Eat|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'food that dogs can\xe2\x80\x99t eat' 'foods dogs shouldn\xe2\x80\x99t eat' 'food to avoid' 'dogs' 'dangerous foods' 'foods you should not feed your dog' 'dangerous foods for dogs']|, ||
